year,Nationality,region,order,dist.class,Moran.correlog,p.value,p.value.sig,red.dots,links,class.links,sig
2011,Total,Valencian Comm.,Total Birth Order,181670.1982,-0.117710895,0.89588932,0,NA,NA,101 to 500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,202867.8447,-0.030740461,0.540933581,0,NA,NA,101 to 500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,224065.4912,-0.06367385,0.604717038,0,NA,NA,101 to 500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,245263.1377,-0.193499901,0.809357806,0,NA,NA,21 to 100,FALSE
2011,Total,Valencian Comm.,Total Birth Order,266460.7842,0.060573578,0.25458219,1,1,NA,21 to 100,TRUE
2011,Total,Valencian Comm.,Total Birth Order,287658.4307,0.055561308,0.201158751,1,1,NA,21 to 100,TRUE
1981,Total,Extremadura,Total Birth Order,22529.14273,0.384754023,0.002558718,1,1,108,101 to 500,TRUE
1981,Total,Extremadura,Total Birth Order,43508.75059,0.154193824,0.0359407,1,1,206,101 to 500,TRUE
1981,Total,Extremadura,Total Birth Order,64488.35845,-0.022866531,0.488654008,1,1,208,101 to 500,TRUE
1981,Total,Extremadura,Total Birth Order,85467.96631,-0.17494029,0.954610907,0,NA,234,101 to 500,FALSE
1981,Total,Extremadura,Total Birth Order,106447.5742,-0.307066141,0.996078054,0,NA,184,101 to 500,FALSE
1981,Total,Extremadura,Total Birth Order,127427.182,-0.169955333,0.929310663,0,NA,200,101 to 500,FALSE
1981,Total,Extremadura,Total Birth Order,148406.7899,-0.077113015,0.679944595,0,NA,170,101 to 500,FALSE
1981,Total,Extremadura,Total Birth Order,169386.3977,-0.080676262,0.654601565,0,NA,128,101 to 500,FALSE
1981,Total,Extremadura,Total Birth Order,190366.0056,0.125679784,0.173338714,1,1,58,21 to 100,TRUE
1981,Total,Extremadura,Total Birth Order,211345.6135,-0.159655692,0.67228972,0,NA,46,21 to 100,FALSE
1981,Total,Extremadura,Total Birth Order,232325.2213,-0.688614229,0.975338524,0,NA,18,1 to 20,FALSE
1991,Total,Extremadura,Total Birth Order,22529.14273,0.446226468,5.00578e-4,1,1,NA,101 to 500,TRUE
1991,Total,Extremadura,Total Birth Order,43508.75059,0.331713965,1.55522e-4,1,1,NA,101 to 500,TRUE
1991,Total,Extremadura,Total Birth Order,64488.35845,0.010380407,0.354537685,0,NA,NA,101 to 500,FALSE
1991,Total,Extremadura,Total Birth Order,85467.96631,-0.125347374,0.873046939,0,NA,NA,101 to 500,FALSE
1991,Total,Extremadura,Total Birth Order,106447.5742,-0.230156546,0.974760476,0,NA,NA,101 to 500,FALSE
1991,Total,Extremadura,Total Birth Order,127427.182,-0.271671918,0.994344605,0,NA,NA,101 to 500,FALSE
1991,Total,Extremadura,Total Birth Order,148406.7899,-0.154641814,0.884179225,0,NA,NA,101 to 500,FALSE
